Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman
2025-08-28,8343500.00,989000.00,3394050248.29,67865182.72
2025-08-27,8296400.00,1000000.00,3404600097.66,68050003.05
2025-08-26,7967400.00,966500.00,3275081994.38,64968131.18
2025-08-25,7861700.00,958000.00,3232100446.78,65910402.92
2025-08-23,7764700.00,941000.00,3140022808.11,63677468.28
2025-08-21,7845300.00,950600.00,3172057047.17,64327100.26
2025-08-20,7735200.00,937500.00,3134437408.45,62662496.57
2025-08-19,7593200.00,933450.00,3092893138.84,61411676.35
2025-08-18,7586900.00,938500.00,3126800404.17,62504098.57
2025-08-17,7513100.00,932900.00,3133331184.45,61226224.44
2025-08-16,7401800.00,927600.00,3115530074.71,60878385.45
2025-08-13,7623700.00,936700.00,3146094244.26,61475618.43
2025-08-12,7449600.00,924900.00,3097397519.68,61154390.54
2025-08-11,7496400.00,932750.00,3127604116.09,62149129.94
2025-08-10,7492300.00,920000.00,3109600000.00,61538799.44
2025-08-09,7457700.00,918300.00,3103854000.00,61425086.44
2025-08-06,7593400.00,934500.00,3158610000.00,62508704.43
2025-08-05,7592700.00,929600.00,3143814149.22,62878143.43
2025-08-04,7641000.00,934100.00,3152026948.78,64228718.00
2025-08-03,7672400.00,938000.00,3140142554.20,65350458.28
2025-08-02,7524800.00,924000.00,3093274754.88,64375078.31
2025-08-01,7398100.00,911800.00,3052432815.48,63525104.33
2025-07-30,7210900.00,905600.00,2984676524.22,66326142.07
2025-07-29,7148500.00,896000.00,2977766312.50,64968961.91
2025-07-28,7144100.00,892500.00,2953371837.16,62510700.82
2025-07-27,7122400.00,892050.00,2974094700.00,61051904.18
2025-07-26,7025500.00,880000.00,2933920000.00,60227202.15
2025-07-25,7008600.00,880500.00,2935587000.00,60261422.15
2025-07-23,7107000.00,884400.00,3001742126.37,60590245.89
2025-07-22,7134400.00,879900.00,3026152037.04,60352337.78
2025-07-21,7182500.00,881100.00,2997414003.96,60980930.19
2025-07-20,7078600.00,878950.00,2947119350.00,60893654.93
2025-07-19,6945100.00,867600.00,2909062800.00,60107326.94
2025-07-18,6985100.00,875600.00,2935886800.00,60661566.93
2025-07-16,7081800.00,887400.00,2975008500.00,60804645.02
2025-07-15,7127500.00,888400.00,2958194363.38,61041963.19
2025-07-14,7126100.00,894200.00,2996911300.00,61887581.18
2025-07-12,7155700.00,889000.00,2983484000.00,62550040.54
2025-07-11,6966400.00,870900.00,2922740400.00,61276524.53
2025-07-09,7055300.00,882850.00,2923646146.22,61967243.66
2025-07-08,7033100.00,878300.00,2904538100.00,61612746.34
2025-07-07,6932400.00,870400.00,2900346837.50,60562433.59
2025-07-06,7138800.00,883700.00,2958627600.00,61072507.54
2025-07-02,7437100.00,916000.00,3066768000.00,63304760.56
2025-07-01,7499700.00,913900.00,3049410085.38,61331829.56
2025-06-30,7407300.00,917200.00,3021623590.43,62011892.56
2025-06-29,7356300.00,906950.00,2969082170.72,61463998.46
2025-06-28,7067500.00,881200.00,2884784396.97,59718921.04
2025-06-27,6744100.00,845700.00,2768568048.71,57313086.16
2025-06-25,6718900.00,836800.00,2784117361.72,56634624.26
2025-06-24,6774100.00,828700.00,2749129299.07,55638917.49
2025-06-11,6774100.00,835350.00,2774447995.79,58282366.70
2025-06-10,6588700.00,827400.00,2747712579.20,55328240.27
2025-06-09,6461000.00,819100.00,2729323189.99,54912464.75
2025-06-08,6551300.00,824950.00,2741061324.72,54834427.51
2025-06-07,6500300.00,822850.00,2734083654.82,54694840.50
2025-06-06,6427800.00,820700.00,2726939849.93,54551930.00
2025-06-02,6617300.00,823850.00,2776868890.45,53245423.24
2025-06-01,6605300.00,823650.00,2708902404.57,52631236.26
2025-05-31,6416000.00,822500.00,2705120169.68,52557751.26
2025-05-30,6442300.00,827400.00,2721235779.20,52870861.26
2025-05-28,6440000.00,822700.00,2709644800.34,53393231.26
2025-05-27,6442300.00,826850.00,2727860915.75,52992813.47
2025-05-26,6460300.00,828300.00,2786069960.89,53657272.99
2025-05-25,6481300.00,822500.00,2766561080.32,53281549.00
2025-05-24,6536300.00,823500.00,2769924680.42,53346328.99
2025-05-23,6568800.00,829150.00,2788929020.97,53712335.99
2025-05-21,6531700.00,827100.00,2737122070.39,53687064.03
2025-05-20,6481800.00,831900.00,2728881610.62,54389619.72
2025-05-19,6592600.00,840650.00,2714374702.91,55096201.77
2025-05-18,6256700.00,818550.00,2604626100.00,53541358.50
2025-05-17,6220700.00,818000.00,2602876000.00,53505383.00
2025-05-16,6309800.00,823350.00,2619899700.00,53855326.52
2025-05-14,6434700.00,831100.00,2644061458.84,54927395.96
2025-05-13,6460500.00,832100.00,2696253670.63,55442820.71
2025-05-12,6582200.00,835000.00,2688700000.00,54241599.24
2025-05-11,6541100.00,834900.00,2784725378.47,53358458.87
2025-05-10,6648200.00,831950.00,2774885948.75,53169924.37
2025-05-09,6718900.00,835500.00,2786726618.41,53396804.87
2025-05-07,6695800.00,830600.00,2808590758.89,50766271.11
2025-05-06,6668300.00,820500.00,2799053619.87,50994076.25
2025-05-05,6688900.00,824650.00,2730663585.27,49668669.12
2025-05-04,6779800.00,844400.00,2729016277.54,51753276.77
2025-05-03,6806800.00,858700.00,2775232446.14,52629723.79
2025-05-02,6775900.00,856900.00,2769415026.32,52519401.78
2025-04-30,6417400.00,819450.00,2708282250.00,51723683.12
2025-04-29,6486900.00,813900.00,2701171359.74,52293075.00
2025-04-28,6491000.00,809650.00,2698158625.00,53323549.49
2025-04-27,6534700.00,812650.00,2667442280.64,54341907.73
2025-04-26,6694000.00,827000.00,2714544719.24,55301492.27
2025-04-25,6653100.00,823600.00,2703384559.57,55074134.26
2025-04-22,6506500.00,808750.00,2750397039.49,54542101.97
2025-04-21,6569300.00,808350.00,2753401730.53,53561272.73
2025-04-20,6633000.00,819750.00,2726980430.05,53980536.25
2025-04-19,6554300.00,827900.00,2754092220.85,54517213.74
2025-04-18,6564400.00,831900.00,2767398621.24,54780613.73
