Gold_IRR,Date,USD_IRR,Ounce_USD,Oil_USD
13930000.0,2022-11-02,350163.0,1645.69995117188,96.1600036621094
13965000.0,2022-11-01,346060.0,1645.0,94.6500015258789
13748000.0,2022-10-31,334720.0,1635.90002441406,94.8300018310547
13605000.0,2022-10-30,332450.0,1660.69995117188,96.9599990844727
13561000.0,2022-10-29,329740.0,1660.69995117188,96.9599990844727
13539800.0,2022-10-27,330520.0,1660.69995117188,96.9599990844727
13539800.0,2022-10-26,330570.0,1664.0,95.6900024414063
13616000.0,2022-10-25,328880.0,1652.80004882813,93.5199966430664
13483000.0,2022-10-24,328700.0,1648.69995117188,93.2600021362305
13369000.0,2022-10-23,327630.0,1630.80004882813,92.379997253418
13420000.0,2022-10-22,328120.0,1630.80004882813,92.379997253418
13406000.0,2022-10-20,326550.0,1630.80004882813,92.379997253418
13406000.0,2022-10-19,326510.0,1627.5,92.4100036621094
13404000.0,2022-10-18,327940.0,1649.0,90.0299987792969
13450000.0,2022-10-17,328450.0,1657.0,91.620002746582
13492000.0,2022-10-16,328570.0,1670.0,94.5699996948242
13550000.0,2022-10-15,331210.0,1670.0,94.5699996948242
13616000.0,2022-10-13,329460.0,1670.0,94.5699996948242
13616000.0,2022-10-12,329540.0,1670.30004882813,92.4499969482422
13614000.0,2022-10-11,326480.0,1678.69995117188,94.2900009155273
13598000.0,2022-10-10,327410.0,1667.30004882813,96.1900024414063
13538000.0,2022-10-09,324910.0,1711.40002441406,93.370002746582
13501000.0,2022-10-08,323070.0,1711.40002441406,93.370002746582
13762000.0,2022-10-05,326316.0,1711.40002441406,93.370002746582
13986000.0,2022-10-04,331020.0,1721.09997558594,91.8000030517578
13986000.0,2022-10-03,330950.0,1692.90002441406,88.8600006103516
13928000.0,2022-10-02,332420.0,1658.5,88.4899978637695
13767000.0,2022-10-01,331520.0,1658.5,88.4899978637695
13298000.0,2022-09-29,318480.0,1658.5,88.4899978637695
13298000.0,2022-09-28,318440.0,1660.40002441406,89.3199996948242
13113000.0,2022-09-26,316810.0,1623.30004882813,84.0599975585938
13109000.0,2022-09-24,317010.0,1670.80004882813,90.4599990844727
13323000.0,2022-09-22,316660.0,1670.80004882813,90.4599990844727
13323000.0,2022-09-21,316730.0,1664.59997558594,89.8300018310547
13212000.0,2022-09-20,317130.0,1659.69995117188,90.620002746582
13065000.0,2022-09-19,316740.0,1666.19995117188,92.0
13069000.0,2022-09-18,316540.0,1665.40002441406,90.8399963378906
13224000.0,2022-09-15,315560.0,1665.40002441406,90.8399963378906
13224000.0,2022-09-14,315540.0,1696.5,94.0999984741211
13252000.0,2022-09-13,313750.0,1705.0,93.1699981689453
13379000.0,2022-09-12,317060.0,1728.09997558594,94.0
13259000.0,2022-09-11,309760.0,1708.0,89.1500015258789
12989000.0,2022-09-10,309100.0,1708.0,89.1500015258789
12827000.0,2022-09-08,302410.0,1708.0,89.1500015258789
12827000.0,2022-09-07,302380.0,1715.30004882813,88.0
12758000.0,2022-09-06,302150.0,1700.40002441406,92.8300018310547
12762000.0,2022-09-05,302420.0,1696.59997558594,92.3600006103516
12730000.0,2022-09-04,302260.0,1696.59997558594,92.3600006103516
12834000.0,2022-09-03,302640.0,1696.59997558594,92.3600006103516
12564000.0,2022-09-01,298470.0,1696.59997558594,92.3600006103516
12564000.0,2022-08-31,299030.0,1712.80004882813,96.4899978637695
12691000.0,2022-08-30,299530.0,1723.19995117188,99.3099975585938
12654000.0,2022-08-29,298580.0,1736.59997558594,105.089996337891
12647000.0,2022-08-28,297120.0,1757.69995117188,99.3399963378906
12561000.0,2022-08-27,295740.0,1757.69995117188,99.3399963378906
12845000.0,2022-08-25,297751.0,1757.69995117188,99.3399963378906
12845000.0,2022-08-24,297751.0,1747.80004882813,101.220001220703
12485000.0,2022-08-23,290870.0,1746.80004882813,100.220001220703
