open,low,high,close,change,percent,date1,date2
16902000,16902000,16902000,16902000,-,-,15/12/2022,1401/09/24
16942000,16632000,16982000,16902000,150000,0.90%,14/12/2022,1401/09/23
16982000,16535000,17121000,16752000,226000,1.35%,13/12/2022,1401/09/22
17421000,17389000,17779000,17694000,277000,1.59%,20/12/2022,1401/09/29
17437000,17296000,17673000,17664000,243000,1.39%,18/12/2022,1401/09/27
17629000,17079000,17664000,17421000,519000,3.07%,17/12/2022,1401/09/26
17657000,17093000,17754000,17417000,247000,1.42%,19/12/2022,1401/09/28
17689000,17689000,18021000,18001000,307000,1.74%,21/12/2022,1401/09/30
17961000,17781000,18238000,18056000,104000,0.58%,03/01/2023,1401/10/13
18001000,18001000,18001000,18001000,-,-,22/12/2022,1401/10/01
18028000,17943000,18617000,18552000,601000,3.24%,31/12/2022,1401/10/10
18047000,17954000,18079000,18049000,7000,0.04%,04/01/2023,1401/10/14
18049000,18049000,18049000,18049000,-,-,05/01/2023,1401/10/15
18326000,18266000,18518000,18460000,459000,2.55%,24/12/2022,1401/10/03
18453000,18451000,18968000,18783000,323000,1.75%,25/12/2022,1401/10/04
18502000,17539000,18506000,17952000,545000,3.04%,02/01/2023,1401/10/12
18543000,18497000,18552000,18497000,55000,0.30%,01/01/2023,1401/10/11
18783000,18783000,18783000,18783000,-,-,26/12/2022,1401/10/05
18841000,18716000,18956000,18878000,25900,0.14%,10/01/2023,1401/10/20
18916800,18522100,19104000,18852100,6100,0.03%,09/01/2023,1401/10/19
18929000,18929000,19116000,19086000,208000,1.10%,11/01/2023,1401/10/21
18936200,18680500,19650000,19253400,167400,0.88%,12/01/2023,1401/10/22
18952000,18405000,19210000,18991000,942000,5.22%,07/01/2023,1401/10/17
18984000,18483000,19153000,18846000,145000,0.77%,08/01/2023,1401/10/18
19153000,19153000,19153000,19153000,768000,4.01%,29/12/2022,1401/10/08
19217000,19217000,19420000,19418000,203000,1.06%,15/01/2023,1401/10/25
19307000,19113000,19326000,19215000,38400,0.20%,14/01/2023,1401/10/24
19411000,19411000,20053000,19914000,496000,2.55%,16/01/2023,1401/10/26
19912000,19912000,22396000,21704000,1778000,8.92%,12/03/2023,1401/12/21
19917000,19917000,19926000,19921000,1138000,6.06%,28/12/2022,1401/10/07
19921000,19882000,20365000,20272000,358000,1.80%,17/01/2023,1401/10/27
20203000,20171000,20552000,20335000,63000,0.31%,18/01/2023,1401/10/28
20237600,19849000,20939900,20591900,256900,1.26%,19/01/2023,1401/10/29
20360000,20035000,20769000,20626000,261000,1.28%,24/01/2023,1401/11/04
20469000,19912000,21219000,19926000,2566600,12.88%,11/03/2023,1401/12/20
20614000,20609000,21288000,21175000,549000,2.66%,25/01/2023,1401/11/05
20614000,20540000,21380000,20840000,248100,1.20%,21/01/2023,1401/11/01
20699000,20510000,20976000,20681000,9000,0.04%,06/02/2023,1401/11/17
20711000,20702000,21415000,21415000,713000,3.44%,31/01/2023,1401/11/11
20746000,20531000,21030000,20880000,199000,0.96%,07/02/2023,1401/11/18
20778200,20628500,21490100,21075000,100000,0.47%,26/01/2023,1401/11/06
20831000,20194000,21023000,20365000,473000,2.32%,23/01/2023,1401/11/03
20854000,20656000,21184000,20838000,2000,0.01%,22/01/2023,1401/11/02
20875000,20875000,21219000,21117000,237000,1.14%,08/02/2023,1401/11/19
20889000,20681000,21233000,20690000,942000,4.55%,05/02/2023,1401/11/16
20936200,20718400,21373900,21164400,47400,0.22%,09/02/2023,1401/11/20
20960000,20960000,21461000,21369000,294000,1.40%,28/01/2023,1401/11/08
21120000,20681000,21127000,20702000,425000,2.05%,30/01/2023,1401/11/10
21196000,21196000,21484000,21424000,226000,1.07%,13/02/2023,1401/11/24
21323000,21163000,21457000,21198000,33600,0.16%,12/02/2023,1401/11/23
21360000,20946000,21404000,21127000,242000,1.15%,29/01/2023,1401/11/09
21408000,21406000,21877000,21780000,365000,1.70%,01/02/2023,1401/11/12
21434000,21417000,21681000,21674000,250000,1.17%,14/02/2023,1401/11/25
21637000,21476000,21918000,21632000,148000,0.68%,02/02/2023,1401/11/13
21697000,21690000,23250000,22840000,1136000,5.23%,13/03/2023,1401/12/22
21707400,21325300,22280400,21845700,171700,0.79%,15/02/2023,1401/11/26
21847000,21838000,22156000,22015000,169300,0.77%,16/02/2023,1401/11/27
22327000,21976000,22805000,22768000,296000,1.32%,11/06/2023,1402/03/21
22401000,22399000,22535000,22438000,67000,0.30%,04/10/2023,1402/07/12
22438000,22438000,22438000,22438000,-,-,05/10/2023,1402/07/13
22505000,22505000,22505000,22505000,-,-,02/10/2023,1402/07/10
22530000,22406000,22851000,22611000,307000,1.36%,30/09/2023,1402/07/08
22604000,22445000,22611000,22505000,106000,0.47%,01/10/2023,1402/07/09
22770000,22770000,23569000,23465000,697000,3.06%,12/06/2023,1402/03/22
22812000,22812000,23701000,23438000,1423000,6.46%,19/02/2023,1401/11/30
22819000,22098900,23120200,22492600,436200,1.94%,09/03/2023,1401/12/18
22837000,22533000,23170000,23165000,325000,1.42%,14/03/2023,1401/12/23
22854500,22632000,23077000,22632000,411000,1.82%,19/08/2023,1402/05/28
22876000,22826000,22946000,22918000,53000,0.23%,27/09/2023,1402/07/05
22902000,22696000,23082000,22722000,455000,2%,22/07/2023,1402/04/31
22918000,22918000,22918000,22918000,-,-,28/09/2023,1402/07/06
22926000,22632000,23054000,22798000,166000,0.73%,20/08/2023,1402/05/29
22950000,22937000,23124000,23008000,289000,1.26%,20/06/2023,1402/03/30
23043000,23043000,23043000,23043000,-,-,17/08/2023,1402/05/26
23045000,23045000,24472000,24446000,2008000,8.95%,07/10/2023,1402/07/15
23063500,22990000,23084000,23043000,34000,0.15%,16/08/2023,1402/05/25
23077000,23077000,23077000,23077000,-,-,15/06/2023,1402/03/25
23112000,23112000,23435000,23297000,190000,0.82%,19/06/2023,1402/03/29
23130000,23130000,23130000,23130000,-,-,24/08/2023,1402/06/02
23141800,23026000,24720700,24217000,1070000,4.62%,16/03/2023,1401/12/25
23150000,23020000,23193000,23107000,19000,0.08%,18/07/2023,1402/04/27
23158000,23158000,23158000,23158000,16000,0.07%,25/09/2023,1402/07/03
23170000,22558000,23290000,23147000,18000,0.08%,15/03/2023,1401/12/24
23174000,23174000,23174000,23174000,60000,0.26%,23/09/2023,1402/07/01
23177000,23177000,23177000,23177000,-,-,20/07/2023,1402/04/29
23179000,23170000,24035000,24008000,873000,3.77%,21/02/2023,1401/12/02
23181000,22431000,23444000,22472000,1014000,4.51%,10/06/2023,1402/03/20
23184500,23128000,23239000,23130000,33000,0.14%,23/08/2023,1402/06/01
23185000,22973000,23200000,23170000,40000,0.17%,26/08/2023,1402/06/04
23186000,23114000,23209000,23163000,27000,0.12%,22/08/2023,1402/05/31
23193000,22867000,23262000,23077000,201000,0.87%,14/06/2023,1402/03/24
23200000,23013000,23223000,23177000,70000,0.30%,19/07/2023,1402/04/28
23202000,22798000,23214000,23190000,392000,1.72%,21/08/2023,1402/05/30
23209000,22865000,23306000,23112000,58000,0.25%,27/08/2023,1402/06/05
23215500,23077000,23354000,23077000,143000,0.62%,15/08/2023,1402/05/24
23219500,23052000,23313000,23126000,136000,0.59%,17/07/2023,1402/04/26
23234000,23234000,23234000,23234000,-,-,21/09/2023,1402/06/30
23234500,23110000,23244000,23225000,113000,0.49%,28/08/2023,1402/06/06
23241000,23084000,23262000,23220000,9000,0.04%,14/08/2023,1402/05/23
23252000,23121000,23320000,23184000,309000,1.33%,15/07/2023,1402/04/24
23262000,23038000,23308000,23216000,279000,1.20%,12/08/2023,1402/05/21
23269000,22666000,23269000,23269000,547000,2.41%,23/07/2023,1402/05/01
23284000,23200000,23334000,23234000,100000,0.43%,20/09/2023,1402/06/29
23291000,23163000,23320000,23262000,78000,0.34%,16/07/2023,1402/04/25
23294000,23294000,23294000,23294000,-,-,31/08/2023,1402/06/09
23312500,23267000,23331000,23294000,21000,0.09%,30/08/2023,1402/06/08
23332500,23329000,23336000,23329000,-,-,26/07/2023,1402/05/04
23334000,23283000,23447000,23352000,344000,1.50%,21/06/2023,1402/03/31
23351000,23257000,23440000,23262000,67000,0.29%,29/07/2023,1402/05/07
23352000,23352000,23352000,23352000,-,-,22/06/2023,1402/04/01
23360500,23098000,23380000,23341000,72000,0.31%,24/07/2023,1402/05/02
23367000,23184000,23523000,23211000,5000,0.02%,13/08/2023,1402/05/22
23368500,23244000,23403000,23334000,69000,0.30%,19/09/2023,1402/06/28
23388000,23281000,23431000,23345000,141000,0.60%,17/09/2023,1402/06/26
23405000,23158000,23532000,23278000,208000,0.89%,10/07/2023,1402/04/19
23429500,23091000,23544000,23315000,90000,0.39%,29/08/2023,1402/06/07
23431500,23262000,23534000,23329000,12000,0.05%,25/07/2023,1402/05/03
23435000,22897000,23666000,23472000,39000,0.17%,05/03/2023,1401/12/14
23442000,23094000,23615000,23135000,303000,1.31%,20/02/2023,1401/12/01
23450500,23246000,23544000,23357000,57000,0.24%,11/09/2023,1402/06/20
23460500,23398000,23507000,23414000,42000,0.18%,10/09/2023,1402/06/19
23461500,23375000,23516000,23407000,109000,0.47%,07/08/2023,1402/05/16
23465000,23465000,24022000,23973000,505000,2.15%,16/10/2023,1402/07/24
