Date,Gold_IRR,USD_IRR,Ounce_USD,Oil_USD,SMA_7,SMA_30,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_LogRet,USD_LogRet,Ounce_LogRet,Oil_LogRet,Gold_LogRet_Lag_1,USD_LogRet_Lag_1,Ounce_LogRet_Lag_1,Gold_LogRet_Lag_2,USD_LogRet_Lag_2,Ounce_LogRet_Lag_2,Gold_LogRet_Lag_3,USD_LogRet_Lag_3,Ounce_LogRet_Lag_3,Gold_LogRet_Lag_7,USD_LogRet_Lag_7,Ounce_LogRet_Lag_7,Target_Next_LogRet,Target_Next_Price
2022-01-15,11977000.0,275080.0,1821.199951171875,84.47000122070312,12087285.714285715,12710800.0,-193357.760561781,-123278.9622601168,31.694433157253144,13431849.186155653,11766750.813844347,-0.024576529715214575,0.03123754076610447,0.0,0.0,0.0,-0.04753558667412433,-0.0032891160891035773,0.013615695908354986,0.009017647196765758,0.004717752871602087,-0.011903436531233587,-0.011803462777500447,0.011169566592358682,0.0,0.0,0.005826419855790741,-0.010238424448000912,11855000.0
2022-01-16,11855000.0,273030.0,1821.199951171875,84.47000122070312,12104142.857142856,12674866.666666666,-217005.41285070032,-142024.2523782335,27.47385358004827,13411973.221784359,11670226.778215641,-0.010238424448000912,-0.007480285194261357,0.0,0.0,-0.024576529715214575,0.03123754076610447,0.0,0.0,-0.04753558667412433,-0.0032891160891035773,0.013615695908354986,0.009017647196765758,0.004717752871602087,-0.07522712560670564,-0.03582542283145785,0.0,0.005216232591300345,11917000.0
2022-01-17,11917000.0,273430.0,1821.199951171875,84.47000122070312,12094571.42857143,12643166.666666666,-228113.91065141186,-159242.18403286918,29.238618524332807,13368924.327686733,11603075.672313267,0.005216232591300345,0.0014639683469609176,0.0,0.0,-0.010238424448000912,-0.007480285194261357,0.0,-0.024576529715214575,0.03123754076610447,0.0,0.0,-0.04753558667412433,-0.0032891160891035773,0.020826181656876778,0.018351131194231422,0.0,0.01523950049402621,12100000.0
2022-01-18,12100000.0,274740.0,1812.300048828125,87.51000213623047,12072571.42857143,12613866.666666666,-219619.27034540102,-171317.60129537556,34.44691907943579,13309011.171958828,11575088.828041172,0.01523950049402621,0.004779548292724139,-0.004898813894231101,0.03535664076828549,0.005216232591300345,0.0014639683469609176,0.0,-0.010238424448000912,-0.007480285194261357,0.0,-0.024576529715214575,0.03123754076610447,0.0,0.02227998752859915,0.005579413615447744,-0.0144633772560656,0.006589809679055583,12180000.0
2022-01-19,12180000.0,275140.0,1843.0999755859373,88.44000244140625,12082714.285714285,12589133.333333334,-204079.37528689764,-177869.95609368,38.12405446293494,13246274.146371437,11562325.853628563,0.006589809679055583,0.001454863135790337,0.016852139555948425,0.01057128663545987,0.01523950049402621,0.004779548292724139,-0.004898813894231101,0.005216232591300345,0.0014639683469609176,0.0,-0.010238424448000912,-0.007480285194261357,0.0,-0.011903436531233587,-0.011803462777500447,0.011169566592358682,0.0,12180000.0
2022-01-20,12180000.0,275250.0,1842.5,88.37999725341797,12069142.857142856,12562100.0,-189578.5529443454,-180211.6754638131,40.2555910543131,13187090.234416021,11552209.765583979,0.0,0.0003997165699398631,-0.0003255782478899052,-0.0006787149688418971,0.006589809679055583,0.001454863135790337,0.016852139555948425,0.01523950049402621,0.004779548292724139,-0.004898813894231101,0.005216232591300345,0.0014639683469609176,0.0,0.013615695908354986,0.009017647196765758,0.004717752871602087,0.013779825853934469,12349000.0
2022-01-22,12349000.0,277690.0,1842.5,88.37999725341797,12079714.285714285,12540700.0,-162575.58896719664,-176684.45816448983,44.26476118841669,13124831.923067315,11561568.076932685,0.013779825853934469,0.008825607978762641,0.0,0.0,0.0,0.0003997165699398631,-0.0003255782478899052,0.006589809679055583,0.001454863135790337,0.016852139555948425,0.01523950049402621,0.004779548292724139,-0.004898813894231101,0.0,-0.04753558667412433,-0.0032891160891035773,0.00541087530517759,12416000.0
2022-01-23,12416000.0,279650.0,1842.5,88.37999725341797,12142428.57142857,12527400.0,-134221.97799971886,-168191.96213153563,45.63462949376376,13039638.63515164,11590861.36484836,0.00541087530517759,0.007033437686044913,0.0,0.0,0.013779825853934469,0.008825607978762641,0.0,0.0,0.0003997165699398631,-0.0003255782478899052,0.006589809679055583,0.001454863135790337,0.016852139555948425,-0.024576529715214575,0.03123754076610447,0.0,-0.0015314555848531097,12397000.0
2022-01-24,12397000.0,277790.0,1841.699951171875,86.2699966430664,12219857.142857144,12511900.0,-111993.68475739658,-156952.30665670783,68.05251641137855,12942850.859822271,11629849.140177729,-0.0015314555848531097,-0.006673388715495798,-0.0004343134744608853,-0.024163794449089393,0.00541087530517759,0.007033437686044913,0.0,0.013779825853934469,0.008825607978762641,0.0,0.0,0.0003997165699398631,-0.0003255782478899052,-0.010238424448000912,-0.007480285194261357,0.0,-0.0012914684174553884,12381000.0
2022-01-25,12381000.0,278580.0,1852.699951171875,88.19999694824219,12286142.857142856,12492200.0,-94578.42726261541,-144477.53077788936,62.42955541640576,12841778.754338928,11675221.245661072,-0.0012914684174553884,0.002839838707784129,0.005954976611818967,0.022125054235775852,-0.0015314555848531097,-0.006673388715495798,-0.0004343134744608853,0.00541087530517759,0.007033437686044913,0.0,0.013779825853934469,0.008825607978762641,0.0,0.005216232591300345,0.0014639683469609176,0.0,-0.00461445870413292,12324000.0
